screen_id,provider_id,doi,title,publication_date,type,venue,first_author,author_count,language,abstract_available,membership,query_indices,raw_page,item_index,raw_sha256
S07348,https://openalex.org/W2922688943,10.3390/bios9020047,Electrochemical Detection and Characterization of Nanoparticles with Printed Devices,2019-03-28,article,Biosensors,Daniel Martín‐Yerga,1,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,48,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07349,https://openalex.org/W2922803885,,A FACILE METHOD TO SYNTHESIZE BI-FUNCTIONAL NANOSTRUCTURED NICKEL COMPOUNDS FOR ENERGY STORAGE AND WATER SPLITTING APPLICATIONS,2018-01-01,article,Pittsburg State University Digital Commons (Pittsburg State University),Nawaf Albeladi,1,en,True,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,29,5b4c49cad6684367147328f9795d88a4be4fec4ee861015f4862bef06ca2ab49
S07350,https://openalex.org/W2922865316,10.3389/fenrg.2019.00028,Roles of Ti in Electrode Materials for Sodium-Ion Batteries,2019-03-27,article,Frontiers in Energy Research,Yuesheng Wang,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,41,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07351,https://openalex.org/W2922992952,10.1007/s10971-019-04966-9,Optimization the selectivity property of graphene oxide modified dimensionally stable anode (DSA) produced by the sol–gel method,2019-03-20,article,Journal of Sol-Gel Science and Technology,Neda Royaei,3,en,False,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,58,d963b1dbb14f8e65a7d457ec34e7917948ec029892ad4550376d596e39703b0d
S07352,https://openalex.org/W2923013223,10.1039/c9cc00749k,Robust and superwetting island-shaped phytate bimetallic oxyhydroxide porous nanoclusters via a mild self-assembly—etching–catching—electrochemical oxidization strategy for an enhanced oxygen evolution reaction,2019-01-01,article,Chemical Communications,Yanqing Wang,7,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000001.json,59,93e21dcb6fb111b7ecfcd6b8f492d65e0177b29744699a0320507eff0bdcb719
S07353,https://openalex.org/W2923016147,10.1016/j.apsusc.2019.03.204,ZnO/Carbon nanowalls shell/core nanostructures as electrodes for supercapacitors,2019-03-20,article,Applied Surface Science,Abdelouadoud Guerra,9,en,False,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,59,d963b1dbb14f8e65a7d457ec34e7917948ec029892ad4550376d596e39703b0d
S07354,https://openalex.org/W2923179550,10.1016/j.electacta.2019.03.104,Localized corrosion behavior of a single-phase non-equimolar high entropy alloy,2019-03-18,article,Electrochimica Acta,Tianshu Li,7,en,False,BOTH,1;2;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,1,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07355,https://openalex.org/W2923208804,,"Hydrothermal Alteration and Uranium Mineralization at the Camie River Prospect (Otish Basin, Québec)",2014-01-01,dissertation,Corpus Université Laval (Université Laval),M Lesbros-Piat-Desvial,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2014-01-01_2014-12-31/attempt_000001/page_000002.json,21,0260b2fc0463c79adb4401a4635fc40af5d4e7dd912d37a7438f3ece00b62054
S07356,https://openalex.org/W2923308329,10.32657/10220/47892,Characterization and evaluation of novel nano-structured bismuth vanadate and hybrid nanomaterials as more sustainable and enhanced photocatalysts in organic transformations,2019-01-01,dissertation,,Leonard Kia Sheun Ng,1,en,True,BOTH,1;2;3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000001.json,3,6c2fd8b66bd5a820be3ca902e872e09f87c3a0788b625315882b1a34db55890c
S07357,https://openalex.org/W2923338847,10.1088/1757-899x/503/1/012009,Electro-catalytic and photo-catalytic reformation of CO2–reactions and efficiencies processes (Review),2019-03-25,conference-paper,IOP Conference Series Materials Science and Engineering,Ainārs Knoks,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,32,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07358,https://openalex.org/W2923464798,10.1080/17445647.2019.1592030,"Geology of the southern Monviso metaophiolite complex (W-Alps, Italy)",2019-03-24,article,Journal of Maps,Michele Locatelli,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,28,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07359,https://openalex.org/W2923549277,10.3390/nano9030468,Compact Integration of TiO2 Nanoparticles into the Cross-Points of 3D Vertically Stacked Ag Nanowires for Plasmon-Enhanced Photocatalysis,2019-03-20,article,Nanomaterials,Vo Thi Nhat Linh,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,17,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07360,https://openalex.org/W2923674892,10.1038/s41598-019-41570-x,"Bi0.9Ho0.1FeO3/TiO2 Composite Thin Films: Synthesis and Study of Optical, Electrical and Magnetic Properties",2019-03-26,article,Scientific Reports,Md. Rafiqul Islam,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,40,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07361,https://openalex.org/W2923677981,10.11606/d.44.2019.tde-30052019-103844,"Caracterização geoquímica e geocronológica do Complexo Granjeiro, Província Borborema, NE Brasil: implicações para a evolução crustal paleoarqueana do distrito ferrífero de Curral Novo",2019-05-30,dissertation,,José Alberto Rodrigues do Vale,1,pt,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000008.json,26,6e7354ad531f2fb7cddb60f9746b0c6121d0daf8386a98e0d81c549ee6c54c2f
S07362,https://openalex.org/W2923833805,10.1002/rcm.8442,Understanding the performance of a paper‐based UV exposure sensor: The photodegradation mechanism of brilliant blue FCF in the presence of TiO 2 photocatalysts in both the solid state and solution,2019-03-22,article,Rapid Communications in Mass Spectrometry,Parisa S. Khiabani,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,22,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07363,https://openalex.org/W2923919358,10.1002/anie.201901813,Sodium Cobalt Metaphosphate as an Efficient Oxygen Evolution Reaction Catalyst in Alkaline Solution,2019-04-02,article,Angewandte Chemie International Edition,Ritambhara Gond,4,en,True,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,75,d963b1dbb14f8e65a7d457ec34e7917948ec029892ad4550376d596e39703b0d
S07364,https://openalex.org/W2924063846,10.3390/min9030199,"The Mineral Chemistry of Chlorites and Its Relationship with Uranium Mineralization from Huangsha Uranium Mining Area in the Middle Nanling Range, SE China",2019-03-26,article,Minerals,Dehai Wu,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,39,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07365,https://openalex.org/W2924342047,10.1039/c8mh01375f,Recent advances in hybrid sodium–air batteries,2019-01-01,article,Materials Horizons,Xiaolong Xu,5,en,True,BOTH,2;3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000001.json,80,ff43ca034efebfeea7c898495037f14edf09b9d6e1beafacf684d94377ca5828
S07366,https://openalex.org/W2924394369,,Etude de la contribution de la technique spark plasma sintering à l'optimisation des propriétés mécaniques de l'alliage de titane TA6V,2017-01-25,dissertation,Thèses en ligne de l'Université Toulouse III (Université Toulouse III),Ugras Kus,1,fr,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2017-01-01_2017-12-31/attempt_000001/page_000004.json,74,c98f472d24425f856c50c58e0baff4ec2953000cc70a4728ad635959f6787e32
S07367,https://openalex.org/W2924531667,,Effect of Metal Ion Substitution on Electrochemical Properties of Cobalt Oxide for Energy Applications,2017-01-01,article,Pittsburg State University Digital Commons (Pittsburg State University),Dalal M. Alqahtani,1,en,True,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2017-01-01_2017-12-31/attempt_000001/page_000001.json,44,05b1f377e8f7d66a7da8eb981e8de65ad2d2ea54cbf002502e4d0bf6dd56115d
S07368,https://openalex.org/W2924566779,10.5445/ir/1000091165,The role of the electrolyte on the lithium-sulfur battery electrochemistry,2019-01-01,dissertation,Repository KITopen (Karlsruhe Institute of Technology),Lucas Lodovico,1,de,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,61,26aaf0016dd87fed837d44b31c2703ddc44abfa784ff423464506de735f15229
S07369,https://openalex.org/W2924595810,10.15495/epub_ubt_00004295,Redox Evolution of the Early Earth’s Mantle,2018-01-01,dissertation,EPub Bayreuth (University of Bayreuth),Katherine Armstrong,1,en,True,BOTH,1;2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,69,62ce73ca5154f6d5530832a9857ba43a51e2137036265d079d05743cf4e4484c
S07370,https://openalex.org/W2924613016,10.1016/j.jece.2019.103029,Influence of pretreatment on surface interaction between Cu and anatase-TiO2 in the simultaneous photoremediation of nitrate and oxalic acid,2019-03-21,article,Journal of environmental chemical engineering,Haruna Adamu,5,en,False,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,18,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07371,https://openalex.org/W2924735720,10.3390/ma12060937,Application of Reverse Micelle Sol–Gel Synthesis for Bulk Doping and Heteroatoms Surface Enrichment in Mo-Doped TiO2 Nanoparticles,2019-03-21,article,Materials,Roberto Nasi,9,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,19,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07372,https://openalex.org/W2924997414,10.1007/s00531-019-01687-w,"Ambiguous isotopic and geochemical signatures resulting from limited melt interactions in a seemingly composite pluton: a case study from the Strzegom–Sobótka Massif (Sudetes, Poland)",2019-03-20,article,International Journal of Earth Sciences,Justyna Domańska−Siuda,3,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,16,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07373,https://openalex.org/W2925035741,10.1002/advs.201900053,Structure‐Activity Relationship of Defective Metal‐Based Photocatalysts for Water Splitting: Experimental and Theoretical Perspectives,2019-03-22,article,Advanced Science,Yong‐Chao Zhang,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,25,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07374,https://openalex.org/W2925134138,10.1016/j.chempr.2019.02.014,Vanadium Oxide Pillared by Interlayer Mg2+ Ions and Water as Ultralong-Life Cathodes for Magnesium-Ion Batteries,2019-03-21,article,Chem,Yanan Xu,11,en,False,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,60,d963b1dbb14f8e65a7d457ec34e7917948ec029892ad4550376d596e39703b0d
S07375,https://openalex.org/W2925633330,10.1002/adfm.201902549,Epitaxial TiO x Surface in Ferroelectric BaTiO 3 : Native Structure and Dynamic Patterning at the Atomic Scale,2019-06-18,article,Advanced Functional Materials,Maya Barzilay,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000008.json,75,6e7354ad531f2fb7cddb60f9746b0c6121d0daf8386a98e0d81c549ee6c54c2f
S07376,https://openalex.org/W2926225128,10.1002/cctc.201802040,Phase‐Dependent Stability and Substrate‐Induced Deactivation by Strong Metal‐Support Interaction of Ru/TiO2 Catalysts for the Hydrogenation of Levulinic Acid,2019-04-02,article,ChemCatChem,Fang Liu,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,72,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07377,https://openalex.org/W2926233777,10.32737/2221-8688-2019-1-9-15,IRIDIUM CATALYST SUPPORTED ON CONDUCTIVE TITANIUM OXIDES FOR POLYMER ELECTROLYTE MEMBRANE ELECTROLYSIS,2019-01-01,article,Chemical Problems,Artem S. Pushkarev,9,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000001.json,65,93e21dcb6fb111b7ecfcd6b8f492d65e0177b29744699a0320507eff0bdcb719
S07378,https://openalex.org/W2926967656,10.3389/fchem.2019.00091,Ag Loading Enhanced Photocatalytic Activity of g-C3N4 Porous Nanosheets for Decomposition of Organic Pollutants,2019-04-02,article,Frontiers in Chemistry,Kezhen Qi,7,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,74,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07379,https://openalex.org/W2927031759,10.3390/catal9040331,Differences in the Catalytic Behavior of Au-Metalized TiO2 Systems During Phenol Photo-Degradation and CO Oxidation,2019-04-03,article,Catalysts,O.H. Laguna,6,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,75,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07380,https://openalex.org/W2927081444,,Sediment provenance and tectonic evolution of the Eastern Mentelle Basin: insights into the early rifting history of East Gondwana,2018-01-01,article,eCite Digital Repository (University of Tasmania),Alessandro Maritati,6,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,70,62ce73ca5154f6d5530832a9857ba43a51e2137036265d079d05743cf4e4484c
S07381,https://openalex.org/W2927308292,,Functional catalysts by design for renewable fuels and chemicals production,2019-01-01,dissertation,K-State Research Exchange (Kansas State University),Nannan Shan,1,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000001.json,4,6c2fd8b66bd5a820be3ca902e872e09f87c3a0788b625315882b1a34db55890c
S07382,https://openalex.org/W2927374413,,Surface and Interface Engineering in Semiconducting Electrocatalyst and Photo(electro)catalyst,2018-01-01,dissertation,Research Online (University of Wollongong),Haifeng Feng,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,71,62ce73ca5154f6d5530832a9857ba43a51e2137036265d079d05743cf4e4484c
S07383,https://openalex.org/W2927401691,10.1021/jacs.8b13672,Initial Steps in Forming the Electrode–Electrolyte Interface: H2O Adsorption and Complex Formation on the Ag(111) Surface from Combining Quantum Mechanics Calculations and Ambient Pressure X-ray Photoelectron Spectroscopy,2019-04-04,article,Journal of the American Chemical Society,Jin Qian,6,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,62,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07384,https://openalex.org/W2927586871,10.1002/advs.201900272,Phase‐Transited Lysozyme‐Driven Formation of Self‐Supported Co3O4@C Nanomeshes for Overall Water Splitting,2019-04-05,article,Advanced Science,Yuan Ha,4,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,65,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07385,https://openalex.org/W2927714178,,Detailed Balance Modeling of Novel Solar Fuels Designs,2018-01-01,dissertation,eScholarship (California Digital Library),Samuel Thomas Keene,1,en,True,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,70,5b4c49cad6684367147328f9795d88a4be4fec4ee861015f4862bef06ca2ab49
S07386,https://openalex.org/W2927719566,,Fabrication of Transparent Conductive Oxide Thin Films in the In-Ga-Zn-O and In-Sn-Zn-O Systems by Facing-Target DC-sputtering Technique,2017-09-28,dissertation,Institutional Repositories DataBase (IRDB),Xinzhi Wang,1,en,True,BOTH,4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q04_year_2017-01-01_2017-12-31/attempt_000001/page_000002.json,55,fc6e65d1738bd7255de684601b360c934d7fc8202841253a7016d6d7d9060e35
S07387,https://openalex.org/W2927804093,10.54337/aau300037423,Lifetime Investigation of PEM Electrolyzers under Realistic Load Profiles,2018-01-01,dissertation,,Steffen Henrik Frensch,1,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,43,1845f344f7b4db6762cb82940ab694fec4cd753fc495967f2f7c2ffc8bb96f91
S07388,https://openalex.org/W2927893577,10.1016/j.jpowsour.2019.03.089,Electrochemical oxygen evolution reaction efficiently catalyzed by a novel porous iron-cobalt-fluoride nanocube easily derived from 3-dimensional Prussian blue analogue,2019-03-30,article,Journal of Power Sources,Chengang Pei,5,en,False,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,55,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07389,https://openalex.org/W2927943167,10.1021/acscatal.9b00532,Outlining the Scaling-Based and Scaling-Free Optimization of Electrocatalysts,2019-03-28,article,ACS Catalysis,Nitish Govindarajan,4,en,True,BOTH,1;3;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,47,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07390,https://openalex.org/W2928594107,10.3390/catal9040318,Ex-Situ Electrochemical Characterization of IrO2 Synthesized by a Modified Adams Fusion Method for the Oxygen Evolution Reaction,2019-04-01,article,Catalysts,Cecil Felix,5,en,True,BOTH,1;3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,63,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07391,https://openalex.org/W2928714382,10.1002/aenm.201803918,Oriented Transformation of Co‐LDH into 2D/3D ZIF‐67 to Achieve Co–N–C Hybrids for Efficient Overall Water Splitting,2019-03-28,article,Advanced Energy Materials,Ziliang Chen,7,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,51,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07392,https://openalex.org/W2928731152,10.1038/s41467-019-09191-0,Enhancing oxygen evolution efficiency of multiferroic oxides by spintronic and ferroelectric polarization regulation,2019-03-29,article,Nature Communications,Xiaoning Li,10,en,True,BOTH,3,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q03_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,53,43cb22905c8c557d28704da77d576ff9e473e229027ee0790688f5be41b744a0
S07393,https://openalex.org/W2928975315,10.1039/c8gc03745k,Electrochemical cross-coupling of biogenic di-acids for sustainable fuel production,2019-01-01,article,Green Chemistry,F. Joschka Holzhäuser,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000003.json,41,73d4228ea0e1a99fb068d17bfb9b3c4618c85474928bfc5372c0d1ed505b18dc
S07394,https://openalex.org/W2929500167,10.1002/slct.201900032,Facile Synthesis of Ce–Doped SnO 2 Nanoparticles: A Promising Photocatalyst for Hydrogen Evolution and Dyes Degradation,2019-04-02,article,ChemistrySelect,Vinod Kumar,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,73,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07395,https://openalex.org/W2929535464,10.1016/j.elecom.2019.03.013,Quantification of formaldehyde production during alkaline methanol electrooxidation,2019-03-23,article,Electrochemistry Communications,Theresa Haisch,5,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,27,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07396,https://openalex.org/W2929546213,,Exploring Serine-lysine Peptide Aggregation in Water and Interaction with Inorganic Surfaces Using Molecular Dynamics,2018-01-01,dissertation,ResearchWorks at the University of Washington (University of Washington),Kejia Wu,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,72,62ce73ca5154f6d5530832a9857ba43a51e2137036265d079d05743cf4e4484c
S07397,https://openalex.org/W2929700287,10.3390/surfaces2020018,Nitrogen-Doped Ordered Mesoporous Carbons Supported Co3O4 Composite as a Bifunctional Oxygen Electrode Catalyst,2019-03-29,article,Surfaces,Jing Wang,7,en,True,BOTH,2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q02_year_2019-01-01_2019-12-31/attempt_000001/page_000002.json,71,d963b1dbb14f8e65a7d457ec34e7917948ec029892ad4550376d596e39703b0d
S07398,https://openalex.org/W2929994739,10.1088/2053-1591/ab1566,Efficacy of α-β grade titanium alloy powder (Ti–6Al–2Sn–2Zr–2Mo–2Cr–0.25Si) in surface modification and corrosion mitigation in 3.5% NaCl on friction stir processed armour grade 7075-T651 aluminum alloys—insight in defence applications,2019-04-03,article,Materials Research Express,Omolayo M. Ikumapayi,2,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,76,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07399,https://openalex.org/W2930177721,10.48550/arxiv.1904.01295,Challenges in Band Alignment between Semiconducting Materials: A Case of Rutile and Anatase TiO$_2$,2019-04-02,preprint,arXiv (Cornell University),Daoyu Zhang,2,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,66,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07400,https://openalex.org/W2930223967,10.1149/2.0811906jes,Electrochemical Stability of Fluorine Doped Tin Oxide (FTO) Coating at Different pH Conditions,2019-01-01,article,Journal of The Electrochemical Society,Alen Korjenic,2,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000003.json,51,73d4228ea0e1a99fb068d17bfb9b3c4618c85474928bfc5372c0d1ed505b18dc
S07401,https://openalex.org/W2930356390,10.3390/catal9030298,Synthesis and Evaluation of Copper-Supported Titanium Oxide Nanotubes as Electrocatalyst for the Electrochemical Reduction of Carbon Oxide to Organics,2019-03-25,article,Catalysts,SK Safdar Hossain,6,en,True,BOTH,1;2,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,35,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07402,https://openalex.org/W2930544406,10.1049/hve.2019.0018,Roles of UV light strength and auxiliary electric field in the photocatalytic degradation effect of organic contaminant,2019-04-05,article,High Voltage,Yaoyu Lin,4,en,True,BOTH,1;4,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,82,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07403,https://openalex.org/W2930553564,10.1016/j.gsf.2019.02.003,Subduction zone geochemistry,2019-03-28,article,Geoscience Frontiers,Yong‐Fei Zheng,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,49,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07404,https://openalex.org/W2930579926,10.3390/ma12071097,"Influence of TiO2 Nanoparticles on Liquid Crystalline, Structural and Electrochemical Properties of (8Z)-N-(4-((Z)-(4-pentylphenylimino)methyl)benzylidene)-4-pentylbenzenamine",2019-04-02,article,Materials,Anna Różycka,8,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,70,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07405,https://openalex.org/W2930634390,10.3390/catal9040340,Integrated Au/TiO2 Nanostructured Photoanodes for Photoelectrochemical Organics Degradation,2019-04-05,article,Catalysts,Roberto Matarrese,13,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,85,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
S07406,https://openalex.org/W2930874422,,"New insights into the subglacial geology of the remote interior of Western Wilkes Land, East Antarctica",2018-01-01,article,eCite Digital Repository (University of Tasmania),Alessandro Maritati,4,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2018-01-01_2018-12-31/attempt_000001/page_000001.json,73,62ce73ca5154f6d5530832a9857ba43a51e2137036265d079d05743cf4e4484c
S07407,https://openalex.org/W2930994661,10.1088/2053-1591/ab131a,Fabrication of V-doped TiO2 nano-particles loaded multiwall carbon nanotube and investigation of optical and photocatalytic properties,2019-03-25,article,Materials Research Express,Akbar Eshaghi,1,en,True,BOTH,1,results/s2_2026-09-22/literature_reconciliation/raw/openalex/q01_year_2019-01-01_2019-12-31/attempt_000001/page_000006.json,33,da4433aa5b03177674a2736626aa4c07268cdefa704a3471ae4c5aef5982c19a
